School Name	Average Point Score	School Type
The Friary School	30.42	Community school
Great Wyrley High School	23.07	Community school
Hagley Park Academy	26.81	Sponsored academy
The Hart School	20.37	Sponsored academy
The JCB Academy	23.42	Free school - UTC (university technical college)
John Taylor High School	33.89	Academy converter - mainstream
King Edward VI High School	21.66	Community school
King Edward VI School	29.36	Community school
The King's CofE (VA) School	18.8	Voluntary aided school
Kingsmead School	26.62	Academy converter - mainstream
Kinver High School and Sixth Form	28.67	Sponsored academy
Landau Forte Academy Tamworth Sixth Form	24.64	Academy 16-19 sponsor led
Leek High Specialist Technology School	21.83	Foundation school
Lichfield Cathedral School	33.27	Independent school
Martec Training	29.72	Independent school
Moorside High School	30.84	Community school
Nether Stowe School	24.57	Community school
Newcastle-under-Lyme College	27.66	General Further Education College
Newcastle-under-Lyme School	39.47	Independent school
Norton Canes High School	23.95	Community school
Ounsdale High School	29.13	Sponsored academy
Paget High School	25.27	Community school
Painsley Catholic College	30.84	Academy converter - mainstream
Paulet High School	23.32	Community school
The Rural Enterprise Academy	22.03	Free school - mainstream
St. Dominic's Brewood	37.45	Independent school
St John Fisher Catholic College	26.57	Academy converter - mainstream
Biddulph High School	28.36	Academy converter - mainstream
Saxon Hill School	29.72	Community special school
Sir Graham Balfour High School	29.9	Community school
South Staffordshire College	29.72	General Further Education College
Stafford Grammar School	38.61	Independent school
Stafford Manor High School	21.68	Foundation school
Staffordshire University Academy	23.65	Sponsored academy
Thomas Alleyne's High School	30.17	Community school
University Academy Kidsgrove	25.12	Academy converter - mainstream
Walton High School	29.7	Community school
Blessed Robert Sutton Catholic Sports College	18.8	Voluntary aided school
Blessed William Howard Catholic School	26.92	Voluntary aided school
The Weston Road Academy	27.96	Academy converter - mainstream
Westwood College	31.47	Foundation school
Blythe Bridge High School	20.3	Foundation school
Wolgarston High School	36.61	Community school
Burton and South Derbyshire College	20.09	General Further Education College
Cannock Chase High School	28.7	Academy converter - mainstream
Cardinal Griffin Catholic College	27.52	Voluntary aided school
City of Stoke-on-Trent Sixth Form College	25.93	Sixth Form College
Haywood Academy	29.72	Academy converter - mainstream
Ormiston Horizon Academy	8.75	Sponsored academy
Ormiston Sir Stanley Matthews Academy	20.68	Sponsored academy
St Joseph's College	34.83	Academy converter - mainstream
St Margaret Ward Catholic Academy	26.33	Academy converter - mainstream
St Thomas More Catholic Academy	25.61	Academy converter - mainstream
Stoke Studio College for Construction and Building Excellence	29.72	Free school - studio school
Stoke Studio College for Manufacturing and Design Engineering	29.72	Free school - studio school
Stoke-on-Trent College	15.71	General Further Education College
Holy Trinity School	27.45	Voluntary aided school
Abraham Darby Academy	19.33	Sponsored academy
Madeley Academy	35.57	Sponsored academy
New College Telford	23.87	Sixth Form College
Newport Girls' High School Academy Trust	39.85	Academy converter - mainstream
Adams' Grammar School	41.86	Academy converter - mainstream
Telford College of Arts and Technology	21.74	General Further Education College
The Telford Park School	29.72	Academy converter - mainstream
Thomas Telford School	39.04	City technology college
Wrekin College	34	Independent school
The Burton Borough School	29.72	Community school
The Moorlands Sixth Form College	30.84	
Earl Mortimer College and Sixth Form Centre	6.36	Community school
The Hereford Academy	21.49	Sponsored academy
Hereford Cathedral School	39.41	Independent school
Hereford College of Arts	32.35	Art, Design and Performing Arts College
Hereford Sixth Form College	31.41	Sixth Form College
Herefordshire & Ludlow College	27.79	General Further Education College
John Kyrle High School and Sixth Form Centre Academy	35.84	Academy converter - mainstream
John Masefield High School	32.71	Academy converter - mainstream
Lady Hawkins' School	30	Academy converter - mainstream
Lucton School	26.44	Independent school
Robert Owen Academy	29.72	Free school - mainstream
Wigmore School	29.72	Academy converter - mainstream
The Chase	32.37	Academy converter - mainstream
Christopher Whitehead Language College	29.72	Academy converter - mainstream
The De Montfort School	19.4	Community school
Droitwich Spa High School and Sixth Form Centre	28.24	Academy converter - mainstream
Dyson Perrins CofE Academy	21.63	Academy converter - mainstream
Hagley Catholic High School	29.84	Academy converter - mainstream
Hanley Castle High School	32.8	Academy converter - mainstream
Haybridge High School and Sixth Form	33.57	Academy converter - mainstream
Heart of Worcestershire College	21.82	General Further Education College
Arrow Vale RSA Academy	26.56	Sponsored academy
Holy Trinity School	23.28	Free school - mainstream
King Charles I School	30.25	Academy converter - mainstream
The King's School	40.24	Independent school
Madinatul Uloom Al Islamiya School	18.67	Independent school
Malvern College	42.15	Independent school
Malvern St James	37.14	Independent school
North Bromsgrove High School	26.49	Community school
Baxter College	26.72	Academy converter - mainstream
Pershore High School	29.99	Academy converter - mainstream
Pitcheroak School	29.72	Community special school
Prince Henry's High School	32.27	Academy converter - mainstream
Royal Grammar School Worcester	40.5	Independent school
St Augustine's Catholic High School	29.19	Academy converter - mainstream
Saint Michael's College	38.21	Independent school
The Bewdley School and Sixth Form Centre	29.39	Foundation school
Abbey College in Malvern	29.72	Independent school
South Bromsgrove High	31.42	Academy converter - mainstream
The Stourport High School and Sixth Form Centre	26.47	Academy converter - mainstream
Trinity High School and Sixth Form Centre	24.35	Academy converter - mainstream
Tudor Grange Academy Redditch	26.24	Academy converter - mainstream
Tudor Grange Academy Worcester	26.5	Sponsored academy
Waseley Hills High School	28.55	Academy converter - mainstream
Wolverley CofE Secondary School	21.28	Voluntary controlled school
Woodrush Community High School	26.28	Academy converter - mainstream
Worcester Sixth Form College	29.41	Sixth Form College
Bredon School	15	Independent school
Bromsgrove School	43.26	Independent school
Cockshut Hill Technology College	9.42	Community school
Colmers School and Sixth Form College	23.63	Foundation school
Dame Elizabeth Cadbury Technology College	29.72	Foundation school
Eden Boys' School, Birmingham	29.72	Free school - mainstream
Edgbaston High School for Girls	41.4	Independent school
Elmhurst School for Dance	27.47	Independent school
Fairfax	24.91	Academy converter - mainstream
Fox Hollies School and Performing Arts College	29.72	Community special school
George Dixon Academy	23.31	Academy converter - mainstream
Great Barr School	24.23	Foundation school
Green Heath School	29.72	Independent school
Greenwood Academy	23.22	Sponsored academy
Archbishop Ilsley Catholic School	26.52	Voluntary aided school
Archway Academy	29.72	Independent school
Hamstead Hall Academy	24.8	Academy converter - mainstream
Handsworth Grammar School	33.3	Voluntary aided school
Handsworth Wood Girls' Academy	18.34	Academy converter - mainstream
Harborne Academy	20.42	Sponsored academy
Ark Kings Academy	29.72	Sponsored academy
Ark St Alban's Academy	29.18	Sponsored academy
Heartlands Academy	25.23	Sponsored academy
Highclare School	27.9	Independent school
The Arthur Terry School	26.71	Academy converter - mainstream
Hillcrest School A Specialist Maths and Computing College and Sixth Form Centre	28.91	Academy converter - mainstream
Holte School	19.81	Community school
Holyhead School	27.28	Academy converter - mainstream
Jamia Islamia Birmingham	29.72	Independent school
John Willmott School	23.88	Community school
Joseph Chamberlain Sixth Form College	29.22	Sixth Form College
King Edward VI Aston School	35.63	Academy converter - mainstream
King Edward VI Camp Hill School for Boys	44.96	Academy converter - mainstream
King Edward VI Camp Hill School for Girls	44	Academy converter - mainstream
King Edward VI Five Ways School	40.29	Academy converter - mainstream
King Edward VI Handsworth School	37.98	Academy converter - mainstream
King Edward VI High School for Girls	46.53	Independent school
King Edward VI Sheldon Heath Academy	30.87	Sponsored academy
King Edward's School	48.49	Independent school
King Solomon International Business School	29.72	Free school - mainstream
King's Norton Boys' School	21.47	Foundation school
Kings Norton Girls' School	31.36	Academy converter - mainstream
Aston Manor Academy	24.58	Academy converter - mainstream
Aston University Engineering Academy	17.87	Free school - UTC (university technical college)
Avecinna Academy	29.72	Independent school
Lordswood Boys' School	29.72	Academy converter - mainstream
Lordswood Girls' School and Sixth Form Centre	29.41	Academy converter - mainstream
Mander Portman Woodward Independent College	39.88	Independent school
Moseley School	27.04	Foundation school
Ninestiles, an Academy	29.72	Academy converter - mainstream
Nishkam High School	22	Free school - mainstream
North Birmingham Academy	20.18	Sponsored academy
The Baverstock Academy	17.17	Academy converter - mainstream
Perry Beeches II The Free School	30.15	Free school - mainstream
Perry Beeches III the Free School	29.72	Free school - mainstream
Perry Beeches IV - The Free School	29.72	Free school - mainstream
Perry Beeches V - The All Through Family School	29.72	Free school - mainstream
Plantsbrook School	26.86	Academy converter - mainstream
The Priory School	23.73	Independent school
Queensbury School	29.72	Community special school
St Edmund Campion Catholic School & Sixth Form Centre	25.06	Voluntary aided school
St George's School Edgbaston	24.94	Independent school
St John Wall Catholic School	17.38	Voluntary aided school
St Paul's School for Girls	32.07	Voluntary aided school
St Thomas Aquinas Catholic School	30.16	Academy converter - mainstream
Selly Oak Trust School	29.72	Foundation special school
Shenley Academy	19.05	Sponsored academy
Small Heath School	19.7	Foundation school
South and City College Birmingham	29.17	General Further Education College
Birmingham Metropolitan College	22.84	General Further Education College
Birmingham Ormiston Academy	20.28	Sponsored academy
Bishop Challoner Catholic College	32.03	Voluntary aided school
Bishop Vesey's Grammar School	42.05	Academy converter - mainstream
Bishop Walsh Catholic School	30.32	Academy converter - mainstream
Sutton Coldfield Grammar School for Girls	41.86	Academy converter - mainstream
Swanshurst School	28.49	Community school
Turves Green Boys' School	29.72	Community school
The University of Birmingham School	29.72	Free school - mainstream
Ward End Community College	29.72	Independent school
Washwood Heath Academy	25.14	Academy converter - mainstream
Waverley School	23.54	Academy converter - mainstream
Waverley Studio College	29.72	Free school - studio school
Bordesley Green Girls' School & Sixth Form	27.72	Community school
Al Huda Girls' School	29.72	Independent school
Bournville College of Further Education	21.16	General Further Education College
Bournville School and Sixth Form Centre	28.93	Sponsored academy
Broadway Academy	26.4	Academy converter - mainstream
Cadbury Sixth Form College	23.34	Sixth Form College
City College Coventry	22.5	General Further Education College
Coundon Court	27.84	Academy converter - mainstream
Eden Girls' School Coventry	29.72	Free school - mainstream
Ernesford Grange Community Academy	26.25	Sponsored academy
Finham Park 2	29.72	Free school - mainstream
Finham Park School	30.64	Academy converter - mainstream
Foxford School and Community Arts College	24.35	Foundation school
Grace Academy Coventry	18.27	Sponsored academy
Henley College Coventry	27.84	General Further Education College
Hereward College of Further Education	29.72	General Further Education College
King Henry VIII School	40.02	Independent school
Lyng Hall School	19.3	Foundation school
Bablake School	40.33	Independent school
Barr's Hill School and Community College	22.43	Foundation school
Pattison College	29.72	Independent school
President Kennedy School Academy	28.97	Academy converter - mainstream
Sidney Stringer Academy	31.47	Sponsored academy
Stoke Park School and Community Technology College	26.63	Foundation school
Bishop Ullathorne Catholic School	33.07	Voluntary aided school
Tile Hill Wood School and Language College	27.93	Academy converter - mainstream
Blue Coat Church of England School and Music College	30.28	Academy converter - mainstream
The Westwood Academy	24.96	Academy converter - mainstream
Whitley Academy	20.42	Academy converter - mainstream
WMG Academy for Young Engineers	23.15	Free school - UTC (university technical college)
Woodlands Academy	25.05	Academy converter - mainstream
Caludon Castle School	30.33	Academy converter - mainstream
Cardinal Newman Catholic School A Specialist Arts and Community College	28.32	Voluntary aided school
Cardinal Wiseman Catholic School and Language College	38.02	Sponsored academy
Dudley College of Technology	26.34	General Further Education College
Ellowes Hall Sports College	28.25	Academy converter - mainstream
Elmfield Rudolf Steiner School Limited	29.72	Independent school
Halesowen College	25.53	General Further Education College
King Edward VI College Stourbridge	35.89	Sixth Form College
Old Swinford Hospital	30.73	Voluntary aided school
Bishop Milner Catholic College	24.91	Academy converter - mainstream
Windsor High School and Sixth Form	27.08	Academy converter - mainstream
George Salter Academy	27.73	Sponsored academy
Health Futures UTC	29.72	Free school - UTC (university technical college)
Holly Lodge High School College of Science	23.34	Foundation school
The ACE Academy	15.33	Sponsored academy
Oldbury Academy	23.01	Academy converter - mainstream
Ormiston Forge Academy	25.11	Sponsored academy
Ormiston Sandwell Community Academy	14.23	Sponsored academy
Perryfields High School Specialist Maths and Computing College	24.59	Community school
The Phoenix Collegiate	29.12	Foundation school
Q3 Academy	23.72	Sponsored academy
Q3 Academy Langley	29.72	Sponsored academy
RSA Academy	30.12	Sponsored academy
Sandwell Academy	33.17	Sponsored academy
Sandwell College	24.47	General Further Education College
Shireland Collegiate Academy	22.07	Sponsored academy
Stuart Bathurst Catholic High School College of Performing Arts	28.84	Voluntary aided school
The Westminster School	29.72	Community special school
Wood Green Academy	27.88	Academy converter - mainstream
Bristnall Hall Academy	26.7	Academy converter - mainstream
CTC Kingshurst Academy	28.21	Sponsored academy
Grace Academy Solihull	21.83	Sponsored academy
Arden	32.91	Academy converter - mainstream
Heart of England School	30.66	Academy converter - mainstream
John Henry Newman Catholic College	28.15	Sponsored academy
Park Hall Academy	26.28	Sponsored academy
Saint Martin's School	39.31	Independent school
St Peter's Catholic School and Specialist Science College	31.51	Voluntary aided school
The Sixth Form College, Solihull	27.58	Sixth Form College
Smith's Wood Sports College	15	Community school
Solihull College	21.82	General Further Education College
Solihull School	43.61	Independent school
Tudor Grange Academy, Solihull	34.36	Academy converter - mainstream
WMG Academy for Young Engineers (Solihull)	29.72	Free school - UTC (university technical college)
Alderbrook School	29.72	Academy converter - mainstream
Grace Academy Darlaston	15.98	Sponsored academy
Joseph Leckie Academy	26.92	Academy converter - mainstream
Mary Elliot School	29.72	Community special school
Barr Beacon School	27.7	Academy converter - mainstream
Ormiston Shelfield Community Academy	22.61	Sponsored academy
Pool Hayes Arts and Community School	25.52	Foundation school
Queen Mary's Grammar School	39.01	Academy converter - mainstream
Queen Mary's High School	30.64	Academy converter - mainstream
St Francis of Assisi Catholic Technology College	23.37	Voluntary aided school
St Thomas More Catholic School, Willenhall	24.41	Voluntary aided school
Shire Oak Academy	26.27	Academy converter - mainstream
The Streetly Academy	32.2	Academy converter - mainstream
Walsall Academy	32.24	Sponsored academy
Walsall College	20	General Further Education College
Walsall Studio School	24.29	Free school - studio school
Bloxwich Academy	20	Sponsored academy
Blue Coat Church of England Academy	22.35	Sponsored academy
West Walsall E-ACT Academy	21.48	Sponsored academy
Willenhall E-ACT Academy	14.33	Sponsored academy
Brownhills School	16.74	Foundation school
Aldridge School - A Science College	30.27	Academy converter - mainstream
The Coleshill School	26.42	Academy converter - mainstream
Etone College	21.72	Academy converter - mainstream
Focus School - Coventry Campus	32.3	Independent school
Arnold Lodge School	29.72	Independent school
Higham Lane School	29.72	Academy converter - mainstream
Ash Green School	25.3	Academy converter - mainstream
Ashlawn School	31.58	Academy converter - mainstream
Kenilworth School and Sixth Form	36.43	Foundation school
Kineton High School	26.83	Community school
King Edward VI College Nuneaton	27.73	Sixth Form College
King Edward VI School	43.96	Academy converter - mainstream
King's High School	40.67	Independent school
The Kingsley School	28.85	Independent school
Lawrence Sheriff School	38.51	Academy converter - mainstream
Aylesford School and Sixth Form College	29.07	Academy converter - mainstream
The Midland Studio College Nuneaton	29.72	Free school - studio school
Myton School	33.46	Academy converter - mainstream
Nicholas Chamberlaine Technology College	25.34	Sponsored academy
North Leamington School	35.27	Community school
North Warwickshire and South Leicestershire College	24.5	General Further Education College
The Nuneaton Academy	13.64	Sponsored academy
The Polesworth School	32.8	Academy converter - mainstream
Princethorpe College	34.3	Independent school
Rugby Free Secondary School	29.72	Free school - mainstream
Rugby High School	39.4	Academy converter - mainstream
Rugby School	44.05	Independent school
St Benedict's Catholic High School	34.2	Voluntary aided school
St Thomas More Catholic School and Sixth Form College	35.76	Academy converter - mainstream
Bilton School	23.66	Academy converter - mainstream
Southam College	35.63	Community school
Stratford Girls' Grammar School	39.87	Academy converter - mainstream
Stratford Upon Avon School	27.91	Academy converter - mainstream
Stratford-upon-Avon College	21.9	General Further Education College
Trinity Catholic School	29.44	Voluntary aided school
Warwick School	43.53	Independent school
Warwickshire College Group	23.97	General Further Education College
Alcester Grammar School	36.8	Academy converter - mainstream
Campion School	38.65	Academy converter - mainstream
City of Wolverhampton College	24.47	General Further Education College
Colton Hills Community School	26.35	Community school
Coppice Performing Arts School	25.32	Community school
Heath Park	29.81	Academy converter - mainstream
Highfields School	30.73	Community school
The King's Church of England School	24.08	Voluntary aided school
Moreton Community School	25.88	Community school
Moseley Park	25.79	Sponsored academy
North East Wolverhampton Academy	18.72	Sponsored academy
Our Lady and St Chad Catholic Academy	20.9	Academy converter - mainstream
The Royal Wolverhampton School	30.51	Independent school
St Edmunds Catholic Academy	24.09	Academy converter - mainstream
St.Peter's Collegiate Church of England School	27.19	Academy converter - mainstream
St Matthias School	29.72	Community school
Smestow School	26.19	Academy converter - mainstream
South Wolverhampton and Bilston Academy	24.39	Sponsored academy
Tettenhall College Incorporated	28.48	Independent school
Wednesfield High Specialist Engineering Academy	26.98	Sponsored academy
West Midlands Construction UTC	29.72	Free school - UTC (university technical college)
Wolverhampton Girls' High School	39.08	Academy converter - mainstream
Wolverhampton Grammar School	36.39	Independent school
The British Sikh School	29.72	Free school - mainstream
Aldersley High School	26.58	Academy converter - mainstream
Central Learning Partnership	28.77	
Hastingsbury Business & Enterprise College	26.14	Foundation school
Kempston Challenger Academy	29.72	Sponsored academy
Kimberley 16 - 19 Stem College	30.08	Free school - 16-19
KWS Educational Services	29.72	Independent school
Mark Rutherford School	29.7	Academy converter - mainstream
Bedford Academy	24.32	Sponsored academy
Bedford College	24.76	General Further Education College
Bedford Girls' School	39.08	Independent school
Bedford Modern School	43.1	Independent school
Bedford School	43.11	Independent school
St Thomas More Catholic School	28.23	Academy converter - mainstream
Biddenham Upper School and Sports College	24.59	Foundation school
Sharnbrook Upper School	29.69	Academy converter - mainstream
Wootton Upper School	27.03	Academy converter - mainstream
Comberton Village College	34.88	Academy converter - mainstream
Cottenham Village College	29.72	Academy converter - mainstream
Cromwell Community College	29.44	Academy converter - mainstream
Ely College	15.79	Academy converter - mainstream
Ely College	29.72	Academy converter - mainstream
Ernulf Academy	21.89	Academy converter - mainstream
Focus School - Cambridge Campus	29.53	Independent school
Hills Road Sixth Form College	41.64	Sixth Form College
Hinchingbrooke School	30.68	Academy converter - mainstream
Huntingdonshire Regional College	29.72	General Further Education College
Impington Village College	32.84	Academy converter - mainstream
Kimbolton School	39.4	Independent school
The King's School Ely	37.08	Independent school
The Leys School	39.89	Independent school
Long Road Sixth Form College	26.25	Sixth Form College
Longsands Academy	29.15	Academy converter - mainstream
Mander Portman Woodward	38.37	Independent school
Neale-Wade Academy	26.86	Sponsored academy
The Netherhall School	29.72	Sponsored academy
The Netherhall School	27.96	Foundation school
Parkside Community College	30.29	Academy converter - mainstream
The Perse School	49.71	Independent school
St. Andrew's College Cambridge	31.33	Independent school
Bellerbys College Cambridge	43.2	Independent school
St Ivo School	29.63	Academy converter - mainstream
St Mary's School	41.69	Independent school
Abbey College Cambridge	44.35	Independent school
St Peter's School	25.35	Academy converter - mainstream
Sawtry Community College Academy	28.96	Academy converter - mainstream
Sir Harry Smith Community College	29.33	Academy converter - mainstream
The Stephen Perse Foundation	49.68	Independent school
Tbap Unity Academy	29.72	Sponsored special academy
Thomas Clarkson Academy	18	Sponsored academy
Abbey College, Ramsey	31.41	Academy converter - mainstream
UTC Cambridge	17.79	Free school - UTC (university technical college)
Wisbech Grammar School	32.11	Independent school
Cambridge Arts and Sciences Sixth Form and Tutorial College	37.6	Independent school
Cambridge Centre for Sixth Form Studies	34.51	Independent school
Cambridge Regional College	15.93	General Further Education College
Cedars Upper School	29.61	Academy converter - mainstream
Central Bedfordshire College	29.72	General Further Education College
Central Bedfordshire UTC	25.85	Free school - UTC (university technical college)
All Saints Academy Dunstable	19.24	Sponsored academy
Etonbury Academy	29.72	Academy converter - mainstream
Focus School - Biggleswade Campus	23.94	Independent school
Focus School - Dunstable Campus	28.77	Independent school
Harlington Upper School	28.33	Academy converter - mainstream
Manshead School	24.65	Voluntary aided school
Queensbury Academy	24.31	Sponsored academy
Redborne Upper School and Community College	33.85	Academy converter - mainstream
Samuel Whitbread Academy	29.33	Academy converter - mainstream
Sandy Upper School	22.7	Foundation school
Stratton Upper School	30.3	Academy converter - mainstream
Vandyke Upper School and Community College	30.84	Academy converter - mainstream
The Cavendish School	29.23	Community school
Chancellor's School	32.5	Foundation school
The Chauncy School	30.69	Academy converter - mainstream
Cheshunt School	24.27	Foundation school
The Da Vinci Studio School of Creative Enterprise	29.72	Free school - studio school
The Da Vinci Studio School of Science and Engineering	21.23	Free school - studio school
Dame Alice Owen's School	43.3	Academy converter - mainstream
Egerton-Rothesay School	29.72	Independent school
The Elstree UTC	24.62	Free school - UTC (university technical college)
Fearnhill School	27.29	Foundation school
Francis Combe Academy	22.75	Sponsored academy
Freman College	29.24	Academy converter - mainstream
Goffs School	30.66	Academy converter - mainstream
Haberdashers' Aske's Boys' School	50.28	Independent school
Haberdashers' Aske's School for Girls	50.02	Independent school
Haileybury and Imperial Service College	43.86	Independent school
Haileybury Turnford	33	Sponsored academy
The Hemel Hempstead School	32.52	Foundation school
Hertford Regional College	29.72	General Further Education College
The Hertfordshire & Essex High School and Science College	37.29	Academy converter - mainstream
Hertswood Academy	29.26	Academy converter - mainstream
The Highfield School	28.57	Community school
Hitchin Boys' School	31.85	Academy converter - mainstream
Hitchin Girls' School	36.58	Academy converter - mainstream
Hockerill Anglo-European College	41.48	Academy converter - mainstream
Immanuel College	46.6	Independent school
Ashlyns School	31.26	Foundation school
John F Kennedy Catholic School	30.52	Voluntary aided school
The John Henry Newman Catholic School	32.24	Academy converter - mainstream
The John Warner School	27.92	Academy converter - mainstream
Kings Langley School	28.9	Academy converter - mainstream
The Astley Cooper School	18.12	Community school
The Knights Templar School	35.37	Academy converter - mainstream
Leventhorpe	32.87	Academy converter - mainstream
Longdean School	27.07	Academy converter - mainstream
Loreto College	33.92	Academy converter - mainstream
The Marlborough Science Academy	27.58	Academy converter - mainstream
Marriotts School	20.83	Community school
Merchant Taylors' School	47.09	Independent school
Meridian School	28.95	Academy converter - mainstream
Monk's Walk School	31.06	Academy converter - mainstream
Barclay School	25.81	Community school
Mount Grace School	18.18	Academy converter - mainstream
Nicholas Breakspear Catholic School	28.31	Academy converter - mainstream
The Nobel School	33.15	Community school
North Hertfordshire College	29.72	General Further Education College
Barnwell School	26.79	Foundation school
Oaklands College	22.62	General Further Education College
Onslow St Audrey's School	26.11	Academy converter - mainstream
Parmiter's School	40.13	Academy converter - mainstream
Presdales School	35.17	Academy converter - mainstream
Princess Helena College	31.94	Independent school
The Priory School	33.16	Foundation school
Purcell School	35.4	Independent school
Beaumont School	35.75	Academy converter - mainstream
Queens' School	33.4	Academy converter - mainstream
Queenswood School	40.64	Independent school
The Reach Free School	29.72	Free school - mainstream
Richard Hale School	31.66	Academy converter - mainstream
Rickmansworth School	34.26	Academy converter - mainstream
Roundwood Park School	37.78	Academy converter - mainstream
Royal Masonic School for Girls	41.31	Independent school
Rudolf Steiner School	36.56	Independent school
St Albans Girls' School	36.36	Academy converter - mainstream
St Albans High School for Girls	47.56	Independent school
St Albans Independent College	33.16	Independent school
St Albans School	46.89	Independent school
St Christopher School	35.84	Independent school
St Clement Danes School	38.94	Academy converter - mainstream
St Columba's College	36.17	Independent school
St Edmund's College	36.83	Independent school
St Francis College	43.16	Independent school
St George's School	37.96	Academy converter - mainstream
Saint Joan of Arc Catholic School	31.78	Academy converter - mainstream
St Margaret's School	37.75	Independent school
St Mary's Catholic School	33.9	Voluntary aided school
St Mary's Church of England High School (VA)	17.69	Academy converter - mainstream
Berkhamsted School	41.69	Independent school
Adeyfield School	22.77	Community school
Saint Michael's Catholic High School	30.75	Academy converter - mainstream
Samuel Ryder Academy	27.04	Sponsored academy
Sandringham School	38.6	Academy converter - mainstream
The Sele School	21.86	Academy converter - mainstream
Sheredes School	29.72	Sponsored academy
Sheredes School	26.97	Community school
Sherrardswood School	31.92	Independent school
Simon Balle All-Through School	34.91	Academy converter - mainstream
Sir Frederic Osborn School	23.19	Community school
Birchwood High School	29.33	Academy converter - mainstream
Sir John Lawes School	38.3	Academy converter - mainstream
Stanborough School	28.82	Academy converter - mainstream
Stanborough Secondary School	29.72	Independent school
Bishop's Hatfield Girls' School	34.7	Academy converter - mainstream
Bishop's Stortford College	43.34	Independent school
The Bishop's Stortford High School	32.39	Foundation school
The Thomas Alleyne School	21.44	Sponsored academy
Townsend CofE School	22.18	Voluntary aided school
Tring Park School for the Performing Arts	35.99	Independent school
Tring School	32.4	Academy converter - mainstream
Verulam School	29.78	Academy converter - mainstream
Watford Grammar School for Boys	41.4	Academy converter - mainstream
Watford Grammar School for Girls	41.55	Academy converter - mainstream
The Watford UTC	23.12	Free school - UTC (university technical college)
West Herts College	27.78	General Further Education College
Westfield Academy	22.75	Academy converter - mainstream
Woodfield School	29.72	Community special school
Yavneh College	42.18	Academy converter - mainstream
The Aldenham Foundation	31.47	Independent school
The Broxbourne School	36.83	Academy converter - mainstream
The Bushey Academy	27.43	Sponsored academy
Bushey Meads School	30.21	Academy converter - mainstream
The Chalk Hills Academy	21.42	Sponsored academy
Luton Sixth Form College	27.23	Sixth Form College
Barnfield College	29.72	General Further Education College
The Stockwood Park Academy	18.62	Sponsored academy
The Studio School Luton	29.72	Free school - studio school
Bury Park Educational Institute (Al - Hikmah Secondary School)	28.89	Independent school
Cardinal Newman Catholic School A Specialist Science College	31.38	Academy converter - mainstream
City of Peterborough Academy	29.72	Free school - mainstream
Greater Peterborough UTC	29.72	Free school - UTC (university technical college)
Hampton College	24.82	Academy converter - mainstream
Arthur Mellows Village College	32.95	Academy converter - mainstream
Iqra Academy	29.72	Independent school
Jack Hunt School	25.81	Foundation school
Ken Stimpson Community School	23.66	Community school
The King's (The Cathedral) School	36.11	Academy converter - mainstream
Nene Park Academy	22.16	Sponsored academy
Ormiston Bushfield Academy	25.5	Sponsored academy
Peterborough Regional College	29.72	General Further Education College
The Peterborough School	32.06	Independent school
St John Fisher Catholic High School	23.54	Voluntary aided school
Stanground Academy	27.33	Sponsored academy
Thomas Deacon Academy	29.11	Sponsored academy
The Voyager Academy	22.54	Sponsored academy
Chelmer Valley High School	30.52	Academy converter - mainstream
Chelmsford College	12.97	General Further Education College
Chelmsford County High School for Girls	42.05	Academy converter - mainstream
Chigwell School	43.05	Independent school
Clacton Coastal Academy	19.81	Sponsored academy
Clacton County High School	28.72	Academy converter - mainstream
Colchester County High School for Girls	41.16	Academy converter - mainstream
Colchester High School	29.72	Independent school
Colchester Institute	17.6	General Further Education College
Colchester Royal Grammar School	46.03	Academy converter - mainstream
Colne Community School and College	19.52	Academy converter - mainstream
Davenant Foundation School	33.25	Academy converter - mainstream
Debden Park High School	29.72	Academy converter - mainstream
Anglo European School	34	Academy converter - mainstream
Epping Forest College	26.91	General Further Education College
Epping St John's Church of England VC School	29.72	Voluntary controlled school
Felsted School	37.27	Independent school
The FitzWimarc School	29.72	Academy converter - mainstream
Friends School	31.54	Independent school
Gosfield School	24.95	Independent school
Great Baddow High School	29.39	Academy converter - mainstream
The Appleton School	27.46	Academy converter - mainstream
Greensward Academy	26.13	Sponsored academy
Guru Gobind Singh Khalsa College	20.51	Independent school
Harlow College	30.52	General Further Education College
Harwich and Dovercourt High School	17.06	Academy converter - mainstream
Hedingham School and Sixth Form	24.8	Academy converter - mainstream
Helena Romanes School and Sixth Form Centre	21.27	Academy converter - mainstream
Hylands School	22.83	Academy converter - mainstream
Joyce Frankland Academy, Newport	22.17	Academy converter - mainstream
The King Edmund School	20.96	Academy converter - mainstream
King Edward VI Grammar School, Chelmsford	44.59	Academy converter - mainstream
The King John School	29.19	Academy converter - mainstream
Maltings Academy	22.17	Sponsored academy
Mayflower High School	32.11	Academy converter - mainstream
Moulsham High School	29.33	Academy converter - mainstream
New Campus Basildon Studio School	29.72	Free school - studio school
New Campus Basildon Studio School	29.72	Free school - studio school
New Hall School	41.34	Independent school
New Rickstones Academy	19.52	Sponsored academy
Notley High School and Braintree Sixth Form	27.81	Academy converter - mainstream
The Ongar Academy	29.72	Free school - mainstream
Ormiston Rivers Academy	23.82	Sponsored academy
The Basildon Upper Academy	16.88	Sponsored academy
Philip Morant School and College	25.14	Academy converter - mainstream
Plume School	27.53	Academy converter - mainstream
Beauchamps High School	30.81	Foundation school
