Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
8	Swansea University	329	4.0	3.49	N/A	100.0
7	Glasgow Caledonian University	N/A	4.4	3.11	N/A	98.2
6	Bournemouth University	346	4.17	2.56	95	95.8
5	University of Westminster	N/A	4.08	2.75	90	95.0
4	University of Greenwich	321	3.96	N/A	95	87.4
3	University of South Wales	321	3.72	N/A	95	86.1
2	Cardiff Metropolitan University	N/A	4.3	N/A	65	84.8
1	Wrexham Glyndwr University	N/A	4.16	N/A	55	81.2
